topology,agent_count,model_size,train_t,push_t,agg_t
powerlaw,192,large,30.663710856984835,0.5185846530948766,0.034846420981921256
powerlaw,192,large,28.343042289983714,0.0003549149550963193,0.01653892602189444
powerlaw,192,large,31.17147349700099,2.401510955998674,0.0464433699962683
powerlaw,192,large,27.80547974599176,0.2918704020266887,0.03587303403764963
powerlaw,192,large,26.41473128698999,0.3179785950342193,0.031282918935175985
powerlaw,192,large,26.784273338096682,0.507988051045686,0.03724205691833049
powerlaw,192,large,32.86080919299275,0.25874455308075994,0.034713136963546276
powerlaw,192,large,32.25162199384067,0.46577424206770957,0.03629557398380712
powerlaw,192,large,29.41442015505163,0.9222969449474476,0.04127676284406334
powerlaw,192,large,28.248066881031264,0.31662271200912073,0.036220881942426786
powerlaw,192,large,28.953670338960364,0.41723402292700484,0.03159776795655489
powerlaw,192,large,28.353380107029807,0.3785707200295292,0.03191088396124542
powerlaw,192,large,30.65066928701708,0.26449169497936964,0.03450827993219718
powerlaw,192,large,28.210064321989194,0.9035489219240844,0.03387174004456028
powerlaw,192,large,27.06816034798976,0.2708409280166961,0.032993414090014994
powerlaw,192,large,32.719358494039625,0.2214562430162914,0.03643448301590979
powerlaw,192,large,33.870265974954236,0.00035271100932732224,0.01905926101608202
powerlaw,192,large,29.647705571958795,0.24632761906832457,0.03333810000913218
powerlaw,192,large,28.5906523889862,0.4578831710095983,0.03676842097775079
powerlaw,192,large,31.270574736990966,0.4128436749451794,0.03254969010595232
powerlaw,192,large,29.1770499330014,0.0002755549503490329,0.016426246031187475
powerlaw,192,large,26.68399778404273,0.49160756991477683,0.0328221699455753
powerlaw,192,large,28.32308566890424,0.6160963589791209,0.030809518066234887
powerlaw,192,large,29.282282397034578,0.3312933460692875,0.03405946696875617
powerlaw,192,large,29.42243858013535,1.6791032719775103,0.03654165001353249
powerlaw,192,large,29.109690107987262,0.3820023859734647,0.031908243079669774
powerlaw,192,large,29.316305060056038,0.5412766639492474,0.03108604298904538
powerlaw,192,large,28.33222601300804,0.47297985199838877,0.05041520803933963
powerlaw,192,large,29.04376506607514,0.48783495801035315,0.03206815489102155
powerlaw,192,large,33.614253678009845,0.38926109700696543,0.037001706019509584
powerlaw,192,large,25.91273312200792,0.26673284999560565,0.0301319690188393
powerlaw,192,large,27.242350551940035,0.21423380193300545,0.02934222895419225
powerlaw,192,large,26.14733123598853,0.29315063398098573,0.032236924045719206
powerlaw,192,large,26.623301680141594,0.3823147199000232,0.033021443989127874
powerlaw,192,large,30.748473556071986,0.32029666303424165,0.03715633804677054
powerlaw,192,large,27.593094892043155,1.6362789790146053,0.03844011900946498
powerlaw,192,large,30.17359729995951,0.3107179620419629,0.03423512895824388
powerlaw,192,large,26.386720923008397,0.24344996002037078,0.03146799001842737
powerlaw,192,large,30.012351285899058,0.3383771330700256,0.03920773195568472
powerlaw,192,large,28.225535267964005,1.3316253749653697,0.03279531700536609
powerlaw,192,large,30.607257488998584,0.2365834460943006,0.03234051389154047
powerlaw,192,large,26.213700004853308,0.2633934320183471,0.03240814903983846
powerlaw,192,large,33.56255951494677,0.21719952899729833,0.034217890934087336
powerlaw,192,large,29.77131709398236,1.524423270020634,0.03710164106450975
powerlaw,192,large,30.95377024199115,0.5317622980219312,0.042740933946333826
powerlaw,192,large,30.57983739604242,0.0002918640384450555,0.017311795032583177
powerlaw,192,large,28.135172970040003,0.357772256975295,0.03558869002154097
powerlaw,192,large,30.712404438992962,0.223701648064889,0.0292980499798432
powerlaw,192,large,26.484077081026044,0.0003182889777235687,0.017447185062337667
powerlaw,192,large,28.851755489013158,2.0699909389950335,0.036627680994570255
powerlaw,192,large,26.43784914695425,0.00027671008137986064,0.018356129061430693
