framework,trials,state_size_bytes,mean_latency_s,stdev_latency_s
Globus Compute,30,1000000000,1.2268200707333337,0.3131651001355935
Globus Compute,30,2000000000,1.6943083737333327,0.24585822509803032
Globus Compute,30,4000000000,2.4788709728666665,0.4140040537425177
Globus Compute,30,8000000000,4.0997770447666655,0.29727529387391566
Globus Compute,30,16000000000,7.090274498966666,0.2534351745770261
