framework,actions_per_actor,action_sleep,num_nodes,num_workers_per_node,num_actors,runtime
dask,30,1.0,16,52,832,245.769520962
dask,30,1.0,16,52,832,204.456234913
dask,30,1.0,16,52,832,171.240168845
