exchange,proxystore,chain_length,data_size_bytes,time_s
RedisExchange,True,1,10000000,0.251242228
RedisExchange,True,1,10000000,0.224781345
RedisExchange,True,1,10000000,0.230100258
RedisExchange,True,1,10000000,0.263701081
RedisExchange,True,1,10000000,0.236874714
RedisExchange,True,1,10000000,0.18814977
RedisExchange,True,1,10000000,0.219641938
RedisExchange,True,1,10000000,0.189336017
RedisExchange,True,1,10000000,0.190759174
RedisExchange,True,1,10000000,0.194665009
RedisExchange,True,2,10000000,0.395001632
RedisExchange,True,2,10000000,0.421669021
RedisExchange,True,2,10000000,0.42105245
RedisExchange,True,2,10000000,0.424746102
RedisExchange,True,2,10000000,0.468486817
RedisExchange,True,2,10000000,0.3804565
RedisExchange,True,2,10000000,0.420137306
RedisExchange,True,2,10000000,0.38337905
RedisExchange,True,2,10000000,0.452268958
RedisExchange,True,2,10000000,0.452967995
RedisExchange,True,4,10000000,0.891369322
RedisExchange,True,4,10000000,0.909042849
RedisExchange,True,4,10000000,0.876242284
RedisExchange,True,4,10000000,0.885925079
RedisExchange,True,4,10000000,0.936972507
RedisExchange,True,4,10000000,0.887002586
RedisExchange,True,4,10000000,0.885429802
RedisExchange,True,4,10000000,0.806992256
RedisExchange,True,4,10000000,0.843130502
RedisExchange,True,4,10000000,0.916577396
RedisExchange,True,8,10000000,2.008046612
RedisExchange,True,8,10000000,1.868888343
RedisExchange,True,8,10000000,2.002801614
RedisExchange,True,8,10000000,1.833040046
RedisExchange,True,8,10000000,2.005841102
RedisExchange,True,8,10000000,1.858127229
RedisExchange,True,8,10000000,2.006885169
RedisExchange,True,8,10000000,2.012058703
RedisExchange,True,8,10000000,1.845802682
RedisExchange,True,8,10000000,1.894259382
RedisExchange,True,16,10000000,4.096919772
RedisExchange,True,16,10000000,3.668499734
RedisExchange,True,16,10000000,3.993457678
RedisExchange,True,16,10000000,3.922447421
RedisExchange,True,16,10000000,3.935043061
RedisExchange,True,16,10000000,3.919796566
RedisExchange,True,16,10000000,3.897680563
RedisExchange,True,16,10000000,4.038458321
RedisExchange,True,16,10000000,4.057336409
RedisExchange,True,16,10000000,3.888972001
