framework,trials,data_size_bytes,mean_latency_s,stdev_latency_s
Ray,50,1000,0.00052621696,0.0003082165662292694
Ray,50,10000,0.00048291120000000005,5.5658118840812064e-05
Ray,50,100000,0.0008964758400000003,6.071662520714821e-05
Ray,50,1000000,0.007652901199999998,0.002431543311918761
Ray,50,10000000,0.04909120935999998,0.011363113843729742
Ray,50,100000000,0.31701788384000007,0.0229916554727169
