framework,timestamp,active_actors,memory_used
Dask,1742066340.1447606,1,284655616
Dask,1742066341.3248723,1,285831168
Dask,1742066342.41278,1,285843456
Dask,1742066343.498448,1,285859840
Dask,1742066344.5822551,1,285863936
Dask,1742066346.7708306,2,395841536
Dask,1742066347.866219,2,397135872
Dask,1742066348.956612,2,397443072
Dask,1742066350.039253,2,397459456
Dask,1742066351.1268787,2,397467648
Dask,1742066353.3526163,4,621056000
Dask,1742066354.448873,4,622907392
Dask,1742066355.5397463,4,622956544
Dask,1742066356.626155,4,622985216
Dask,1742066357.7088776,4,623005696
Dask,1742066360.0833466,8,1073070080
Dask,1742066361.1849282,8,1073885184
Dask,1742066362.2822013,8,1074028544
Dask,1742066363.3761828,8,1074368512
Dask,1742066364.4632924,8,1074413568
Dask,1742066366.8825305,16,1972936704
Dask,1742066367.985879,16,1975406592
Dask,1742066369.0870008,16,1975533568
Dask,1742066370.1745481,16,1975668736
Dask,1742066371.26206,16,1975709696
Dask,1742066374.0534902,32,3764723712
Dask,1742066375.1568735,32,3767431168
Dask,1742066376.254493,32,3767980032
Dask,1742066377.3462918,32,3768184832
Dask,1742066378.4487808,32,3768537088
Dask,1742066381.9883368,52,6062714880
Dask,1742066383.175359,52,6063919104
Dask,1742066384.3059094,52,6064623616
Dask,1742066385.420886,52,6064623616
Dask,1742066386.546964,52,6064959488
Dask,1742066392.511218,104,11962392576
Dask,1742066393.8165107,104,11963686912
Dask,1742066395.0539412,104,11965046784
Dask,1742066396.3260179,104,11965104128
Dask,1742066397.56831,104,11966255104
Dask,1742066400.2652695,1,333242368
Dask,1742066401.365907,1,333340672
Dask,1742066402.458561,1,333352960
Dask,1742066403.544878,1,333369344
Dask,1742066404.6297193,1,333373440
Dask,1742066406.8085017,2,445087744
Dask,1742066407.908064,2,445292544
Dask,1742066408.9987414,2,445317120
Dask,1742066410.086842,2,445345792
Dask,1742066411.1744878,2,445353984
Dask,1742066413.3317518,4,670294016
Dask,1742066414.4341538,4,670707712
Dask,1742066415.5318356,4,670785536
Dask,1742066416.622976,4,670810112
Dask,1742066417.7095797,4,670834688
Dask,1742066420.0108604,8,1121472512
Dask,1742066421.120331,8,1122299904
Dask,1742066422.2260616,8,1122426880
Dask,1742066423.3139138,8,1122484224
Dask,1742066424.4000592,8,1122533376
Dask,1742066426.8198464,16,2013790208
Dask,1742066427.9205499,16,2015449088
Dask,1742066429.0236273,16,2015592448
Dask,1742066430.1127772,16,2015698944
Dask,1742066431.2063298,16,2017169408
Dask,1742066434.1382253,32,3804962816
Dask,1742066435.253171,32,3806867456
Dask,1742066436.3533778,32,3807191040
Dask,1742066437.455594,32,3807387648
Dask,1742066438.5737793,32,3807711232
Dask,1742066442.2013414,52,6099632128
Dask,1742066443.3982515,52,6099902464
Dask,1742066444.5346665,52,6100643840
Dask,1742066445.6960967,52,6100643840
Dask,1742066446.858984,52,6100963328
Dask,1742066452.4441295,104,11983216640
Dask,1742066453.849259,104,11986173952
Dask,1742066455.1658323,104,11989807104
Dask,1742066456.4736562,104,11991085056
Dask,1742066457.7811317,104,11992330240
Dask,1742066460.542935,1,358567936
Dask,1742066461.6460502,1,358674432
Dask,1742066462.739975,1,358686720
Dask,1742066463.830623,1,358694912
Dask,1742066465.0159452,1,358699008
Dask,1742066467.1559503,2,468234240
Dask,1742066468.2598426,2,468439040
Dask,1742066469.3558874,2,468471808
Dask,1742066470.446669,2,468492288
Dask,1742066471.5364769,2,468504576
Dask,1742066473.7626708,4,695889920
Dask,1742066474.8680556,4,696311808
Dask,1742066475.9664345,4,696381440
Dask,1742066477.0568771,4,696414208
Dask,1742066478.1440332,4,696434688
Dask,1742066480.4296823,8,1144221696
Dask,1742066481.5395772,8,1145057280
Dask,1742066482.6480114,8,1145180160
Dask,1742066483.736418,8,1146667008
Dask,1742066484.8248758,8,1146703872
Dask,1742066487.3736932,16,2030952448
Dask,1742066488.5005631,16,2032459776
Dask,1742066489.6001387,16,2034016256
Dask,1742066490.6918628,16,2034159616
Dask,1742066491.7858455,16,2034475008
Dask,1742066494.6127288,32,3831570432
Dask,1742066495.7250352,32,3833589760
Dask,1742066496.8266776,32,3833856000
Dask,1742066497.9264162,32,3834130432
Dask,1742066499.0463817,32,3834159104
Dask,1742066502.6604054,52,6131597312
Dask,1742066503.8302982,52,6131597312
Dask,1742066504.9470482,52,6132338688
Dask,1742066506.0779045,52,6132338688
Dask,1742066507.2195914,52,6132748288
Dask,1742066513.1277716,104,12015595520
Dask,1742066514.4516454,104,12018442240
Dask,1742066515.7141678,104,12020183040
Dask,1742066517.0430534,104,12022161408
Dask,1742066518.3347235,104,12022943744
