framework,actions_per_actor,action_sleep,num_nodes,num_workers_per_node,num_actors,runtime
ray,30,1.0,16,52,832,30.206777678
ray,30,1.0,16,52,832,30.214381477
ray,30,1.0,16,52,832,30.233285115
