framework,trials,data_size_bytes,mean_latency_s,stdev_latency_s
Academy[HybridExchange],10,1000,0.0003856158,0.00030189142720219434
Academy[HybridExchange],10,10000,0.0006262996,2.4088676034720432e-05
Academy[HybridExchange],10,100000,0.0008095566,8.918120661753111e-05
Academy[HybridExchange],10,1000000,0.0024826167,0.001088594493342274
Academy[HybridExchange],10,10000000,0.0232984506,0.004166608081097733
Academy[HybridExchange],10,100000000,0.2963596931,0.002003526639549344
