framework,timestamp,active_actors,memory_used
Academy+ProcessPoolExecutor,1742066000.0012867,1,206667776
Academy+ProcessPoolExecutor,1742066001.1368935,1,207478784
Academy+ProcessPoolExecutor,1742066002.2225752,1,207478784
Academy+ProcessPoolExecutor,1742066003.3035474,1,207478784
Academy+ProcessPoolExecutor,1742066004.382051,1,207478784
Academy+ProcessPoolExecutor,1742066006.0144567,2,274100224
Academy+ProcessPoolExecutor,1742066007.1040833,2,275177472
Academy+ProcessPoolExecutor,1742066008.1892016,2,275718144
Academy+ProcessPoolExecutor,1742066009.2690263,2,275718144
Academy+ProcessPoolExecutor,1742066010.3479636,2,275718144
Academy+ProcessPoolExecutor,1742066012.001107,4,412717056
Academy+ProcessPoolExecutor,1742066013.0947418,4,412717056
Academy+ProcessPoolExecutor,1742066014.1808736,4,412717056
Academy+ProcessPoolExecutor,1742066015.2621121,4,412717056
Academy+ProcessPoolExecutor,1742066016.3428893,4,412717056
Academy+ProcessPoolExecutor,1742066018.059797,8,683520000
Academy+ProcessPoolExecutor,1742066019.1544266,8,683520000
Academy+ProcessPoolExecutor,1742066020.2425563,8,683520000
Academy+ProcessPoolExecutor,1742066021.326916,8,683520000
Academy+ProcessPoolExecutor,1742066022.4094338,8,683520000
Academy+ProcessPoolExecutor,1742066024.1759298,16,1226022912
Academy+ProcessPoolExecutor,1742066025.2711189,16,1226289152
Academy+ProcessPoolExecutor,1742066026.3566368,16,1226289152
Academy+ProcessPoolExecutor,1742066027.4363182,16,1226289152
Academy+ProcessPoolExecutor,1742066028.5155694,16,1226256384
Academy+ProcessPoolExecutor,1742066030.4701152,32,2319388672
Academy+ProcessPoolExecutor,1742066031.566519,32,2319388672
Academy+ProcessPoolExecutor,1742066032.6552117,32,2319388672
Academy+ProcessPoolExecutor,1742066033.7375348,32,2319388672
Academy+ProcessPoolExecutor,1742066034.819418,32,2319388672
Academy+ProcessPoolExecutor,1742066037.014247,52,3689197568
Academy+ProcessPoolExecutor,1742066038.1081471,52,3689132032
Academy+ProcessPoolExecutor,1742066039.196963,52,3689402368
Academy+ProcessPoolExecutor,1742066040.2798707,52,3689402368
Academy+ProcessPoolExecutor,1742066041.3644035,52,3689402368
Academy+ProcessPoolExecutor,1742066044.2035844,104,7203360768
Academy+ProcessPoolExecutor,1742066045.3082545,104,7203631104
Academy+ProcessPoolExecutor,1742066046.4008753,104,7203631104
Academy+ProcessPoolExecutor,1742066047.486659,104,7203631104
Academy+ProcessPoolExecutor,1742066048.5710843,104,7203397632
Academy+ProcessPoolExecutor,1742066050.4872954,1,210886656
Academy+ProcessPoolExecutor,1742066051.5848687,1,210886656
Academy+ProcessPoolExecutor,1742066052.6721787,1,210886656
Academy+ProcessPoolExecutor,1742066053.7517571,1,209924096
Academy+ProcessPoolExecutor,1742066054.8306808,1,209924096
Academy+ProcessPoolExecutor,1742066056.4586306,2,277762048
Academy+ProcessPoolExecutor,1742066057.5525506,2,277762048
Academy+ProcessPoolExecutor,1742066058.6395216,2,277762048
Academy+ProcessPoolExecutor,1742066059.7201252,2,277762048
Academy+ProcessPoolExecutor,1742066060.8004208,2,277762048
Academy+ProcessPoolExecutor,1742066062.463472,4,413097984
Academy+ProcessPoolExecutor,1742066063.5563078,4,412123136
Academy+ProcessPoolExecutor,1742066064.6441803,4,412123136
Academy+ProcessPoolExecutor,1742066065.7248752,4,412123136
Academy+ProcessPoolExecutor,1742066066.8048737,4,412123136
Academy+ProcessPoolExecutor,1742066068.5204952,8,688533504
Academy+ProcessPoolExecutor,1742066069.6179945,8,688533504
Academy+ProcessPoolExecutor,1742066070.7076647,8,688533504
Academy+ProcessPoolExecutor,1742066071.794744,8,688533504
Academy+ProcessPoolExecutor,1742066072.878695,8,688533504
Academy+ProcessPoolExecutor,1742066074.7101462,16,1237798912
Academy+ProcessPoolExecutor,1742066075.803954,16,1237786624
Academy+ProcessPoolExecutor,1742066076.8928194,16,1237786624
Academy+ProcessPoolExecutor,1742066077.9749072,16,1237786624
Academy+ProcessPoolExecutor,1742066079.1048756,16,1237786624
Academy+ProcessPoolExecutor,1742066081.041234,32,2308001792
Academy+ProcessPoolExecutor,1742066082.1400373,32,2308001792
Academy+ProcessPoolExecutor,1742066083.2288718,32,2308001792
Academy+ProcessPoolExecutor,1742066084.3088706,32,2308001792
Academy+ProcessPoolExecutor,1742066085.3888798,32,2308001792
Academy+ProcessPoolExecutor,1742066087.5942597,52,3667779584
Academy+ProcessPoolExecutor,1742066088.69452,52,3667779584
Academy+ProcessPoolExecutor,1742066089.7837648,52,3667779584
Academy+ProcessPoolExecutor,1742066090.86731,52,3667779584
Academy+ProcessPoolExecutor,1742066091.953348,52,3667779584
Academy+ProcessPoolExecutor,1742066095.0222132,104,7213645824
Academy+ProcessPoolExecutor,1742066096.1201198,104,7213645824
Academy+ProcessPoolExecutor,1742066097.2119567,104,7213645824
Academy+ProcessPoolExecutor,1742066098.299202,104,7213645824
Academy+ProcessPoolExecutor,1742066099.3849075,104,7213645824
Academy+ProcessPoolExecutor,1742066101.2809222,1,211705856
Academy+ProcessPoolExecutor,1742066102.3808732,1,211705856
Academy+ProcessPoolExecutor,1742066103.4708242,1,211705856
Academy+ProcessPoolExecutor,1742066104.5517347,1,211705856
Academy+ProcessPoolExecutor,1742066105.6328707,1,211705856
Academy+ProcessPoolExecutor,1742066107.261169,2,277569536
Academy+ProcessPoolExecutor,1742066108.3568695,2,277569536
Academy+ProcessPoolExecutor,1742066109.4448755,2,277569536
Academy+ProcessPoolExecutor,1742066110.5279884,2,277569536
Academy+ProcessPoolExecutor,1742066111.6117039,2,277569536
Academy+ProcessPoolExecutor,1742066113.2662835,4,414752768
Academy+ProcessPoolExecutor,1742066114.364578,4,414752768
Academy+ProcessPoolExecutor,1742066115.4528701,4,414752768
Academy+ProcessPoolExecutor,1742066116.5350397,4,414019584
Academy+ProcessPoolExecutor,1742066117.616063,4,414019584
Academy+ProcessPoolExecutor,1742066119.3446796,8,684650496
Academy+ProcessPoolExecutor,1742066120.4427364,8,684650496
Academy+ProcessPoolExecutor,1742066121.5328715,8,684650496
Academy+ProcessPoolExecutor,1742066122.6143036,8,684650496
Academy+ProcessPoolExecutor,1742066123.6941588,8,684650496
Academy+ProcessPoolExecutor,1742066125.4973948,16,1224273920
Academy+ProcessPoolExecutor,1742066126.5955825,16,1224273920
Academy+ProcessPoolExecutor,1742066127.6848786,16,1224273920
Academy+ProcessPoolExecutor,1742066128.7677653,16,1224138752
Academy+ProcessPoolExecutor,1742066129.8486965,16,1224138752
Academy+ProcessPoolExecutor,1742066131.802988,32,2317217792
Academy+ProcessPoolExecutor,1742066132.9025216,32,2317217792
Academy+ProcessPoolExecutor,1742066133.9928725,32,2317217792
Academy+ProcessPoolExecutor,1742066135.0756974,32,2317217792
Academy+ProcessPoolExecutor,1742066136.158092,32,2317217792
Academy+ProcessPoolExecutor,1742066138.359945,52,3669647360
Academy+ProcessPoolExecutor,1742066139.4598176,52,3669647360
Academy+ProcessPoolExecutor,1742066140.54797,52,3669647360
