framework,actions_per_actor,action_sleep,num_nodes,num_workers_per_node,num_actors,runtime
academy,30,1.0,64,52,3328,30.795066078
academy,30,1.0,64,52,3328,30.794602622
academy,30,1.0,64,52,3328,30.831623656
