framework,timestamp,active_actors,memory_used
AERIS+ParslPoolExecutor,1742069810.0421216,1,361414656
AERIS+ParslPoolExecutor,1742069811.1848605,1,361549824
AERIS+ParslPoolExecutor,1742069812.272509,1,361549824
AERIS+ParslPoolExecutor,1742069813.3545508,1,361824256
AERIS+ParslPoolExecutor,1742069814.4376707,1,361824256
AERIS+ParslPoolExecutor,1742069822.4810383,2,439107584
AERIS+ParslPoolExecutor,1742069823.5771403,2,441999360
AERIS+ParslPoolExecutor,1742069824.6669998,2,441999360
AERIS+ParslPoolExecutor,1742069825.7504456,2,442183680
AERIS+ParslPoolExecutor,1742069826.8339012,2,442183680
AERIS+ParslPoolExecutor,1742069834.5544183,4,591876096
AERIS+ParslPoolExecutor,1742069835.6514919,4,591917056
AERIS+ParslPoolExecutor,1742069836.7407386,4,591917056
AERIS+ParslPoolExecutor,1742069837.8239117,4,591917056
AERIS+ParslPoolExecutor,1742069838.9064422,4,591929344
AERIS+ParslPoolExecutor,1742069846.6635218,8,899538944
AERIS+ParslPoolExecutor,1742069847.7620962,8,899543040
AERIS+ParslPoolExecutor,1742069848.8496907,8,899543040
AERIS+ParslPoolExecutor,1742069849.9334257,8,899543040
AERIS+ParslPoolExecutor,1742069851.0165465,8,899600384
AERIS+ParslPoolExecutor,1742069858.9364579,16,1509199872
AERIS+ParslPoolExecutor,1742069860.0353932,16,1509203968
AERIS+ParslPoolExecutor,1742069861.129326,16,1509203968
AERIS+ParslPoolExecutor,1742069862.2173884,16,1509224448
AERIS+ParslPoolExecutor,1742069863.3054683,16,1509236736
AERIS+ParslPoolExecutor,1742069871.309233,32,2735984640
AERIS+ParslPoolExecutor,1742069872.4124188,32,2735988736
AERIS+ParslPoolExecutor,1742069873.50333,32,2735988736
AERIS+ParslPoolExecutor,1742069874.5871675,32,2736074752
AERIS+ParslPoolExecutor,1742069875.6763494,32,2736111616
AERIS+ParslPoolExecutor,1742069883.8734808,52,4264144896
AERIS+ParslPoolExecutor,1742069884.9719915,52,4264153088
AERIS+ParslPoolExecutor,1742069886.0633843,52,4264153088
AERIS+ParslPoolExecutor,1742069887.1473486,52,4263796736
AERIS+ParslPoolExecutor,1742069888.2340589,52,4263837696
AERIS+ParslPoolExecutor,1742069897.2445676,104,8202006528
AERIS+ParslPoolExecutor,1742069898.3553329,104,8202088448
AERIS+ParslPoolExecutor,1742069899.4483938,104,8202170368
AERIS+ParslPoolExecutor,1742069900.5446386,104,8202190848
AERIS+ParslPoolExecutor,1742069901.6350026,104,8202190848
AERIS+ParslPoolExecutor,1742069909.3854358,1,373477376
AERIS+ParslPoolExecutor,1742069910.4872746,1,372240384
AERIS+ParslPoolExecutor,1742069911.5800865,1,372240384
AERIS+ParslPoolExecutor,1742069912.6656249,1,372240384
AERIS+ParslPoolExecutor,1742069913.7461214,1,372252672
AERIS+ParslPoolExecutor,1742069921.4484918,2,448622592
AERIS+ParslPoolExecutor,1742069922.551333,2,448622592
AERIS+ParslPoolExecutor,1742069923.6389294,2,448622592
AERIS+ParslPoolExecutor,1742069924.7210789,2,448622592
AERIS+ParslPoolExecutor,1742069925.8020432,2,448626688
AERIS+ParslPoolExecutor,1742069933.5406477,4,596221952
AERIS+ParslPoolExecutor,1742069934.6416526,4,596221952
AERIS+ParslPoolExecutor,1742069935.7309284,4,596221952
AERIS+ParslPoolExecutor,1742069936.8125658,4,596221952
AERIS+ParslPoolExecutor,1742069937.8934722,4,596226048
AERIS+ParslPoolExecutor,1742069945.6459758,8,907931648
AERIS+ParslPoolExecutor,1742069946.8064268,8,907931648
AERIS+ParslPoolExecutor,1742069947.899327,8,907931648
AERIS+ParslPoolExecutor,1742069948.9829113,8,907931648
AERIS+ParslPoolExecutor,1742069950.0649886,8,907935744
AERIS+ParslPoolExecutor,1742069957.8949983,16,1509851136
AERIS+ParslPoolExecutor,1742069958.9928663,16,1509851136
AERIS+ParslPoolExecutor,1742069960.083304,16,1509851136
AERIS+ParslPoolExecutor,1742069961.1742344,16,1509851136
AERIS+ParslPoolExecutor,1742069962.2633352,16,1509859328
AERIS+ParslPoolExecutor,1742069970.2496173,32,2728738816
AERIS+ParslPoolExecutor,1742069971.353435,32,2728738816
AERIS+ParslPoolExecutor,1742069972.439332,32,2728738816
AERIS+ParslPoolExecutor,1742069973.5221636,32,2728738816
AERIS+ParslPoolExecutor,1742069974.6086378,32,2728738816
AERIS+ParslPoolExecutor,1742069982.7820582,52,4271267840
AERIS+ParslPoolExecutor,1742069983.8887043,52,4271267840
AERIS+ParslPoolExecutor,1742069984.9788396,52,4271267840
AERIS+ParslPoolExecutor,1742069986.0652177,52,4271267840
AERIS+ParslPoolExecutor,1742069987.1574636,52,4271267840
AERIS+ParslPoolExecutor,1742069996.1853395,104,8222986240
AERIS+ParslPoolExecutor,1742069997.2892804,104,8222986240
AERIS+ParslPoolExecutor,1742069998.3817406,104,8223125504
AERIS+ParslPoolExecutor,1742069999.4796376,104,8223125504
AERIS+ParslPoolExecutor,1742070000.5673406,104,8223125504
AERIS+ParslPoolExecutor,1742070008.3280196,1,377491456
AERIS+ParslPoolExecutor,1742070009.4296412,1,377491456
AERIS+ParslPoolExecutor,1742070010.5171163,1,377491456
AERIS+ParslPoolExecutor,1742070011.6015804,1,377491456
AERIS+ParslPoolExecutor,1742070012.6828794,1,377495552
AERIS+ParslPoolExecutor,1742070020.3951726,2,447823872
AERIS+ParslPoolExecutor,1742070021.4953318,2,447823872
AERIS+ParslPoolExecutor,1742070022.5827143,2,447823872
AERIS+ParslPoolExecutor,1742070023.6655686,2,447823872
AERIS+ParslPoolExecutor,1742070024.7466288,2,447827968
AERIS+ParslPoolExecutor,1742070032.474899,4,598364160
AERIS+ParslPoolExecutor,1742070033.5752504,4,598364160
AERIS+ParslPoolExecutor,1742070034.6632771,4,598364160
AERIS+ParslPoolExecutor,1742070035.746467,4,598364160
AERIS+ParslPoolExecutor,1742070036.8286574,4,598364160
AERIS+ParslPoolExecutor,1742070044.589778,8,901849088
AERIS+ParslPoolExecutor,1742070045.691709,8,901849088
AERIS+ParslPoolExecutor,1742070046.779878,8,901849088
AERIS+ParslPoolExecutor,1742070047.8644798,8,901849088
AERIS+ParslPoolExecutor,1742070048.9486277,8,901853184
AERIS+ParslPoolExecutor,1742070056.7762053,16,1509363712
AERIS+ParslPoolExecutor,1742070057.8782022,16,1509363712
AERIS+ParslPoolExecutor,1742070058.9673302,16,1509363712
AERIS+ParslPoolExecutor,1742070060.0494177,16,1509363712
AERIS+ParslPoolExecutor,1742070061.133485,16,1509371904
AERIS+ParslPoolExecutor,1742070069.0926843,32,2729672704
