framework,timestamp,active_actors,memory_used
AERIS+ParslPoolExecutor,1742070070.1953354,32,2729676800
AERIS+ParslPoolExecutor,1742070071.289407,32,2729676800
AERIS+ParslPoolExecutor,1742070072.3779216,32,2729697280
AERIS+ParslPoolExecutor,1742070073.4633307,32,2729697280
AERIS+ParslPoolExecutor,1742070081.6800175,52,4267315200
AERIS+ParslPoolExecutor,1742070082.7802699,52,4267319296
AERIS+ParslPoolExecutor,1742070083.8729143,52,4267319296
AERIS+ParslPoolExecutor,1742070084.9581695,52,4267454464
AERIS+ParslPoolExecutor,1742070086.0444434,52,4267454464
AERIS+ParslPoolExecutor,1742070095.0720232,104,8230334464
AERIS+ParslPoolExecutor,1742070096.1809394,104,8230354944
AERIS+ParslPoolExecutor,1742070097.2713292,104,8230481920
AERIS+ParslPoolExecutor,1742070098.3673458,104,8230440960
AERIS+ParslPoolExecutor,1742070099.4549217,104,8230440960
