exchange,proxystore,data_size_bytes,latency_s
HttpExchangeFactory,True,1000,0.077647815
HttpExchangeFactory,True,1000,0.051275164
HttpExchangeFactory,True,1000,0.047139204
HttpExchangeFactory,True,1000,0.056437839
HttpExchangeFactory,True,1000,0.060396049
HttpExchangeFactory,True,1000,0.064053917
HttpExchangeFactory,True,1000,0.060702815
HttpExchangeFactory,True,1000,0.060501625
HttpExchangeFactory,True,1000,0.060865144
HttpExchangeFactory,True,1000,0.061082233
HttpExchangeFactory,True,1000,0.059777721
HttpExchangeFactory,True,1000,0.060771311
HttpExchangeFactory,True,1000,0.059818973
HttpExchangeFactory,True,1000,0.060564429
HttpExchangeFactory,True,1000,0.059263554
HttpExchangeFactory,True,1000,0.058499118
HttpExchangeFactory,True,1000,0.061302691
HttpExchangeFactory,True,1000,0.061796688
HttpExchangeFactory,True,1000,0.051418791
HttpExchangeFactory,True,1000,0.054589897
HttpExchangeFactory,True,1000,0.060288237
HttpExchangeFactory,True,1000,0.061072263
HttpExchangeFactory,True,1000,0.06100188
HttpExchangeFactory,True,1000,0.059778507
HttpExchangeFactory,True,1000,0.059496087
HttpExchangeFactory,True,1000,0.062155515
HttpExchangeFactory,True,1000,0.058499358
HttpExchangeFactory,True,1000,0.061284724
HttpExchangeFactory,True,1000,0.059077149
HttpExchangeFactory,True,1000,0.060748731
HttpExchangeFactory,True,1000,0.060090808
HttpExchangeFactory,True,1000,0.060494462
HttpExchangeFactory,True,1000,0.062067476
HttpExchangeFactory,True,1000,0.061278905
HttpExchangeFactory,True,1000,0.062087629
HttpExchangeFactory,True,1000,0.058978922
HttpExchangeFactory,True,1000,0.051798126
HttpExchangeFactory,True,1000,0.047808773
HttpExchangeFactory,True,1000,0.056716636
HttpExchangeFactory,True,1000,0.065209077
HttpExchangeFactory,True,1000,0.060671782
HttpExchangeFactory,True,1000,0.06024711
HttpExchangeFactory,True,1000,0.062065166
HttpExchangeFactory,True,1000,0.062164029
HttpExchangeFactory,True,1000,0.06103426
HttpExchangeFactory,True,1000,0.058887078
HttpExchangeFactory,True,1000,0.060932075
HttpExchangeFactory,True,1000,0.059943754
HttpExchangeFactory,True,1000,0.061468133
HttpExchangeFactory,True,1000,0.063538173
HttpExchangeFactory,True,10000,0.068641777
HttpExchangeFactory,True,10000,0.067796923
HttpExchangeFactory,True,10000,0.061701029
HttpExchangeFactory,True,10000,0.052278582
HttpExchangeFactory,True,10000,0.062460755
HttpExchangeFactory,True,10000,0.06785895
HttpExchangeFactory,True,10000,0.067863214
HttpExchangeFactory,True,10000,0.068833048
HttpExchangeFactory,True,10000,0.072167482
HttpExchangeFactory,True,10000,0.069388984
HttpExchangeFactory,True,10000,0.066584046
HttpExchangeFactory,True,10000,0.068766893
HttpExchangeFactory,True,10000,0.06876982
HttpExchangeFactory,True,10000,0.069145698
HttpExchangeFactory,True,10000,0.066128056
HttpExchangeFactory,True,10000,0.069277576
HttpExchangeFactory,True,10000,0.069223854
HttpExchangeFactory,True,10000,0.067896561
HttpExchangeFactory,True,10000,0.057584187
HttpExchangeFactory,True,10000,0.053796105
HttpExchangeFactory,True,10000,0.070947518
HttpExchangeFactory,True,10000,0.067118317
HttpExchangeFactory,True,10000,0.067800606
HttpExchangeFactory,True,10000,0.068293038
HttpExchangeFactory,True,10000,0.068091746
HttpExchangeFactory,True,10000,0.069399564
HttpExchangeFactory,True,10000,0.066643843
HttpExchangeFactory,True,10000,0.069333778
HttpExchangeFactory,True,10000,0.070046784
HttpExchangeFactory,True,10000,0.069406494
HttpExchangeFactory,True,10000,0.066831508
HttpExchangeFactory,True,10000,0.069200927
HttpExchangeFactory,True,10000,0.068460756
HttpExchangeFactory,True,10000,0.057279972
HttpExchangeFactory,True,10000,0.053601958
