framework,trials,data_size_bytes,mean_latency_s,stdev_latency_s
Academy[RedisExchange],50,1000,0.0005425976999999999,5.607229064933289e-05
Academy[RedisExchange],50,10000,0.0006262995799999998,2.4088676034720432e-05
Academy[RedisExchange],50,100000,0.0008095565799999998,8.918120661753111e-05
Academy[RedisExchange],50,1000000,0.002645332799999999,0.0008773374925200607
Academy[RedisExchange],50,10000000,0.05986179114,0.004641070989329066
Academy[RedisExchange],50,100000000,0.9382581506999993,0.00250653715905315
