framework,trials,state_size_bytes,mean_latency_s,stdev_latency_s
Academy,30,1000000000,0.03466218476666668,0.005535869050906963
Academy,30,2000000000,0.03449272573333333,0.002061928776903665
Academy,30,4000000000,0.03397285606666667,0.0019501995206569018
Academy,30,8000000000,0.0341720574,0.005598744434177188
Academy,30,16000000000,0.033608397766666666,0.005561939271453987
