framework,actions_per_actor,action_sleep,num_nodes,num_workers_per_node,num_actors,runtime
aeris,30,1.0,2,52,104,30.061103851
aeris,30,1.0,2,52,104,30.062913943
aeris,30,1.0,2,52,104,30.062710305
